"";"Pred_type";"Depth";"if (...) NULL";"Footprint";"n";"RMSE";"MAE";"MSE";"AVE";"R2";"Spearman";"Pearson"
"1";"Pred_20m_map";"obs_02";"B1";20;125;0,081144833246747;0,0657672095;0,00658448396264238;-1,11784922176072;0,0115104194253465;0,0965247039818043;0,107286622769787
"2";"Pred_20";"obs_02";"B1";20;221;0,06161961396002;0,0485977656401872;0,00379697682458189;-0,111676627128719;0,0230828768703547;0,17230027766495;0,151930500131984
"3";"Pred_50";"obs_02";"B1";50;221;0,0594053991047128;0,0469305551920265;0,00352900144279021;-0,0332189534723857;0,0410399476925783;0,215154085698615;0,202583187092558
"4";"Pred_100";"obs_02";"B1";100;221;0,06224815492046;0,0489291925409193;0,00387483279100159;-0,134471250891226;0,0098161112480244;0,150760981411187;0,0990762900396679
"5";"Pred_200";"obs_02";"B1";200;246;0,0589551699703629;0,0467227309487906;0,00347571206623437;-0,0212076170766768;0,0304700596181855;0,171388819588277;0,17455675185505
"6";"Pred_20m_map";"obs_05";"B1";20;125;0,0672514046356422;0,05401225621;0,00452275142546688;-1,02165376002254;0,00930348802667304;0,0852700089752159;0,0964545904904118
"7";"Pred_20";"obs_05";"B1";20;221;0,0568781720135197;0,0447538384468186;0,00323512645159953;-0,276541419297463;0,00415410176095262;0,104023769619649;0,0644523216102618
"8";"Pred_50";"obs_05";"B1";50;221;0,0524318269948616;0,0410681487465384;0,0027490964820191;-0,0847599243631467;0,0378715356660281;0,212059475223728;0,194606103876595
"9";"Pred_100";"obs_05";"B1";100;221;0,0562180358225139;0,043842098423298;0,00316046755174145;-0,247081928481919;0,00249120549939347;0,104011446826295;0,0499119775143549
"10";"Pred_200";"obs_05";"B1";200;246;0,0492067619219204;0,0387201840901413;0,00242130541884056;0,0214446802269405;0,0581866019794985;0,216384460647119;0,241218991747123
